"","HDFCBANK.NS","TCS.NS","RELIANCE.NS","ONGC.NS","HINDUNILVR.NS","TATAMOTORS.NS","WIPRO.NS","BAJFINANCE.NS","KOTAKBANK.NS","BHARTIARTL.NS","NSEI"
"HDFCBANK.NS",1,0.310020165078802,0.443808705693409,0.21380530522737,0.23639840770426,0.3869985859498,0.290020139051994,0.53830330516741,0.60034820679586,0.354049785208402,0.758330637181164
"TCS.NS",0.310020165078802,1,0.3880080290084,0.268263841049941,0.30993468785664,0.350377994787432,0.610632254792998,0.302872731879543,0.279354443759147,0.292169278628825,0.583614631418691
"RELIANCE.NS",0.443808705693409,0.3880080290084,1,0.410585405444306,0.314897253095083,0.412847578909798,0.330557210682984,0.418884424297777,0.394866734071262,0.323556351462355,0.716798524532195
"ONGC.NS",0.21380530522737,0.268263841049941,0.410585405444306,1,0.10972418744382,0.391529285922342,0.305614792553165,0.277998416125523,0.217418798736455,0.279767973421107,0.48171473144855
"HINDUNILVR.NS",0.23639840770426,0.30993468785664,0.314897253095083,0.10972418744382,1,0.177279906108419,0.262059063877242,0.279583684344859,0.278042854901494,0.233888751663783,0.440171428987833
"TATAMOTORS.NS",0.3869985859498,0.350377994787432,0.412847578909798,0.391529285922342,0.177279906108419,1,0.347481621058046,0.444774476195858,0.355900431270121,0.334278205102696,0.614681318391778
"WIPRO.NS",0.290020139051994,0.610632254792998,0.330557210682984,0.305614792553165,0.262059063877242,0.347481621058046,1,0.293810365185793,0.261013234453894,0.25829807460761,0.538171645059009
"BAJFINANCE.NS",0.53830330516741,0.302872731879543,0.418884424297777,0.277998416125523,0.279583684344859,0.444774476195858,0.293810365185793,1,0.535007127288442,0.354788795587943,0.694712511869704
"KOTAKBANK.NS",0.60034820679586,0.279354443759147,0.394866734071262,0.217418798736455,0.278042854901494,0.355900431270121,0.261013234453894,0.535007127288442,1,0.34578304081267,0.664884139425948
"BHARTIARTL.NS",0.354049785208402,0.292169278628825,0.323556351462355,0.279767973421107,0.233888751663783,0.334278205102696,0.25829807460761,0.354788795587943,0.34578304081267,1,0.537256834660873
"NSEI",0.758330637181164,0.583614631418691,0.716798524532195,0.48171473144855,0.440171428987833,0.614681318391778,0.538171645059009,0.694712511869704,0.664884139425948,0.537256834660873,1
